model_tag,metric,mean,ci_low,ci_high,n
no_condition,val_kl_dim_20,,,,0
no_condition,val_kl_dim_21,,,,0
no_condition,val_kl_dim_22,,,,0
no_condition,val_kl_dim_23,,,,0
no_condition,val_kl_dim_24,,,,0
no_condition,val_kl_dim_25,,,,0
no_condition,val_kl_dim_26,,,,0
no_condition,val_kl_dim_27,,,,0
no_condition,val_kl_dim_28,,,,0
no_condition,val_kl_dim_29,,,,0
no_condition,val_kl_dim_30,,,,0
no_condition,val_kl_dim_31,,,,0
no_condition,test_beta,1.0,1.0,1.0,3
no_condition,test_n,13250.0,13250.0,13250.0,3
no_condition,test_active_units_thr_0.001,,,,0
no_condition,test_active_units_thr_0.01,,,,0
no_condition,test_active_units_thr_0.05,,,,0
no_condition,test_kl_dim_00,,,,0
no_condition,test_kl_dim_01,,,,0
no_condition,test_kl_dim_02,,,,0
no_condition,test_kl_dim_03,,,,0
no_condition,test_kl_dim_04,,,,0
no_condition,test_kl_dim_05,,,,0
no_condition,test_kl_dim_06,,,,0
no_condition,test_kl_dim_07,,,,0
no_condition,test_kl_dim_08,,,,0
no_condition,test_kl_dim_09,,,,0
no_condition,test_kl_dim_10,,,,0
no_condition,test_kl_dim_11,,,,0
no_condition,test_kl_dim_12,,,,0
no_condition,test_kl_dim_13,,,,0
no_condition,test_kl_dim_14,,,,0
no_condition,test_kl_dim_15,,,,0
no_condition,test_kl_dim_16,,,,0
no_condition,test_kl_dim_17,,,,0
no_condition,test_kl_dim_18,,,,0
no_condition,test_kl_dim_19,,,,0
no_condition,test_kl_dim_20,,,,0
no_condition,test_kl_dim_21,,,,0
no_condition,test_kl_dim_22,,,,0
no_condition,test_kl_dim_23,,,,0
no_condition,test_kl_dim_24,,,,0
no_condition,test_kl_dim_25,,,,0
no_condition,test_kl_dim_26,,,,0
no_condition,test_kl_dim_27,,,,0
no_condition,test_kl_dim_28,,,,0
no_condition,test_kl_dim_29,,,,0
no_condition,test_kl_dim_30,,,,0
no_condition,test_kl_dim_31,,,,0
random_condition,best_epoch,40.0,40.0,40.0,3
random_condition,val_loss,2.387210006299226,2.3834096118447863,2.3939528338575133,3
random_condition,val_recon_loss,2.387210006299226,2.3834096118447863,2.3939528338575133,3
random_condition,val_raw_kl,0.0,0.0,0.0,3
random_condition,val_free_kl,0.0,0.0,0.0,3
random_condition,val_aux_condition_loss,0.0,0.0,0.0,3
random_condition,val_token_acc,0.2887228651400536,0.2852071830889013,0.2909713071700607,3
random_condition,val_active_units_main,,,,0
random_condition,val_mean_latent_var,,,,0
random_condition,val_mean_mu_abs,,,,0
random_condition,val_mean_kl_per_dim,,,,0
random_condition,val_recon_subset_n,500.0,500.0,500.0,3
random_condition,val_recon_edit_distance_mean,0.7047655256383996,0.6986174154313242,0.709405746108008,3
random_condition,val_recon_exact_rate,0.0,0.0,0.0,3
random_condition,val_recon_condition_fidelity,0.050666666666666665,0.042,0.058,3
random_condition,test_loss,2.3634132706384237,2.356677925991562,2.368356198490791,3
random_condition,test_recon_loss,2.3634132706384237,2.356677925991562,2.368356198490791,3
random_condition,test_raw_kl,0.0,0.0,0.0,3
random_condition,test_free_kl,0.0,0.0,0.0,3
random_condition,test_aux_condition_loss,0.0,0.0,0.0,3
random_condition,test_token_acc,0.30055580425613565,0.2971318528826221,0.3039077278135984,3
random_condition,test_active_units_main,,,,0
random_condition,test_mean_latent_var,,,,0
random_condition,test_mean_mu_abs,,,,0
random_condition,test_mean_kl_per_dim,,,,0
random_condition,test_recon_subset_n,500.0,500.0,500.0,3
random_condition,test_recon_edit_distance_mean,0.6874454321335165,0.6862886062611656,0.6890080325570804,3
random_condition,test_recon_exact_rate,0.0,0.0,0.0,3
random_condition,test_recon_condition_fidelity,0.05266666666666667,0.046000000000000006,0.056,3
random_condition,gen_n_generated,2189.0,2189.0,2189.0,3
random_condition,gen_valid_rate,0.9937566620983707,0.9931475559616262,0.9949748743718593,3
random_condition,gen_novelty_rate,0.9996954469316278,0.9995431703974417,1.0,3
random_condition,gen_uniqueness_rate,1.0,1.0,1.0,3
random_condition,gen_low_complexity_rate,0.01888229023907416,0.015989036089538604,0.02147099132023755,3
random_condition,gen_exact_train_overlap_rate,0.00030455306837216383,0.0,0.0004568296025582458,3
random_condition,gen_nn_similarity_train_mean,0.09528312273132317,0.09258317909379805,0.09776001491560145,3
random_condition,gen_condition_fidelity,0.04324653570884727,0.04202832343535861,0.04431247144814984,3
random_condition,gen_per_condition_surrogate_hit_mean,0.0392595563086219,0.03816907594617814,0.040351347411212234,3
random_condition,gen_pairwise_diversity,0.9974841899062327,0.9973414221472504,0.9976311154723175,3
random_condition,val_beta,1.0,1.0,1.0,3
random_condition,val_n,13248.0,13248.0,13248.0,3
random_condition,val_active_units_thr_0.001,,,,0
random_condition,val_active_units_thr_0.01,,,,0
random_condition,val_active_units_thr_0.05,,,,0
random_condition,val_kl_dim_00,,,,0
random_condition,val_kl_dim_01,,,,0
random_condition,val_kl_dim_02,,,,0
random_condition,val_kl_dim_03,,,,0
random_condition,val_kl_dim_04,,,,0
random_condition,val_kl_dim_05,,,,0
random_condition,val_kl_dim_06,,,,0
random_condition,val_kl_dim_07,,,,0
random_condition,val_kl_dim_08,,,,0
random_condition,val_kl_dim_09,,,,0
random_condition,val_kl_dim_10,,,,0
random_condition,val_kl_dim_11,,,,0
random_condition,val_kl_dim_12,,,,0
random_condition,val_kl_dim_13,,,,0
random_condition,val_kl_dim_14,,,,0
random_condition,val_kl_dim_15,,,,0
random_condition,val_kl_dim_16,,,,0
random_condition,val_kl_dim_17,,,,0
random_condition,val_kl_dim_18,,,,0
random_condition,val_kl_dim_19,,,,0
random_condition,val_kl_dim_20,,,,0
random_condition,val_kl_dim_21,,,,0
random_condition,val_kl_dim_22,,,,0
random_condition,val_kl_dim_23,,,,0
random_condition,val_kl_dim_24,,,,0
random_condition,val_kl_dim_25,,,,0
random_condition,val_kl_dim_26,,,,0
random_condition,val_kl_dim_27,,,,0
random_condition,val_kl_dim_28,,,,0
random_condition,val_kl_dim_29,,,,0
random_condition,val_kl_dim_30,,,,0
random_condition,val_kl_dim_31,,,,0
random_condition,test_beta,1.0,1.0,1.0,3
random_condition,test_n,13250.0,13250.0,13250.0,3
